customer_id,age,gender,city,tenure_months,monthly_spend,num_purchases_last_3m,support_tickets,discount_used,churn
1001,56,Male,Chennai,18,746.56,14,1,0,1
1002,69,Female,Chennai,4,1497.87,6,0,0,0
1003,46,Female,Pune,17,2476.65,3,1,1,0
1004,32,Male,Chennai,57,1435.63,12,1,0,0
1005,60,Female,Bangalore,14,1864.38,12,2,1,0
1006,25,Female,Pune,14,801.25,12,1,1,0
1007,38,Female,Delhi,13,1282.61,12,1,0,1
1008,56,Male,Chennai,7,1731.23,6,1,0,1
1009,36,Female,Chennai,44,1552.93,12,2,0,1
1010,40,Female,Delhi,55,1912.33,7,1,0,0
1011,28,Male,Chennai,15,1198.66,8,1,0,0
1012,28,Male,Delhi,19,625.01,13,1,0,0
1013,41,Female,Pune,43,2061.05,10,0,0,0
1014,53,Female,Bangalore,47,1031.93,12,1,1,0
1015,57,Male,Delhi,44,1753.3,8,0,1,0
1016,41,Male,Mumbai,35,1725.43,9,1,1,0
1017,20,Female,Delhi,17,668.12,9,0,0,1
1018,39,Female,Chennai,35,2024.56,6,0,1,0
1019,19,Female,Pune,19,1216.72,6,0,0,0
1020,41,Female,Pune,20,1527.53,11,1,0,0
1021,61,Male,Delhi,36,1320.91,7,1,0,0
1022,47,Female,Bangalore,35,2311.3,11,1,0,0
1023,55,Female,Mumbai,32,2171.75,10,2,0,0
1024,19,Male,Pune,58,593.83,7,0,1,0
1025,38,Female,Chennai,48,2629.41,5,2,0,0
1026,50,Male,Chennai,44,1160.85,3,1,0,0
1027,29,Female,Bangalore,40,2551.22,5,1,0,1
1028,39,Female,Pune,24,1371.9,4,1,1,0
1029,61,Male,Delhi,17,1329.54,9,0,1,0
1030,42,Male,Chennai,7,1376.34,11,2,1,0
1031,66,Female,Bangalore,43,1299.61,2,1,0,1
1032,44,Female,Pune,50,2762.2,11,1,1,0
1033,59,Female,Pune,1,1461.82,13,2,0,1
1034,45,Male,Pune,35,1348.85,10,0,1,0
1035,33,Female,Pune,32,1538.51,10,1,1,0
1036,32,Male,Pune,36,1016.33,10,0,0,0
1037,64,Male,Chennai,13,2298.56,11,1,1,0
1038,68,Female,Bangalore,6,764.46,11,1,0,0
1039,61,Male,Pune,58,1193.0,8,0,0,0
1040,69,Female,Mumbai,14,1968.33,7,0,1,0
1041,20,Female,Mumbai,37,1521.18,8,1,0,0
1042,54,Female,Bangalore,48,1774.61,6,1,1,0
1043,68,Female,Delhi,15,2266.58,11,2,0,1
1044,24,Female,Delhi,47,2001.9,7,1,1,0
1045,38,Male,Delhi,4,1568.74,10,1,1,0
1046,26,Male,Mumbai,40,2544.67,9,1,1,0
1047,56,Female,Delhi,59,1185.83,11,2,0,0
1048,35,Female,Chennai,16,1449.85,6,3,0,0
1049,21,Male,Pune,28,1484.78,5,3,1,1
1050,42,Male,Mumbai,16,1448.79,6,3,1,1
1051,31,Male,Bangalore,4,965.39,10,1,0,1
1052,67,Male,Bangalore,45,708.18,10,0,0,1
1053,26,Female,Pune,26,1708.6,7,4,1,0
1054,43,Female,Mumbai,28,1183.26,5,2,1,1
1055,19,Male,Delhi,32,2453.9,4,1,1,0
1056,37,Female,Delhi,45,1463.73,11,0,1,0
1057,45,Male,Chennai,2,1374.26,13,1,0,1
1058,64,Female,Chennai,31,2047.17,5,0,1,0
1059,24,Male,Delhi,3,1701.1,10,1,0,0
